Insp_Violation_ID	Supp_Desc
222028646	At time of inspection on 12/31/2018 from 1130-1200 hours
222028649	False Log on 12/27/2018 shows driving from Ardmore, OK to San Antonio, TX in 3 hours 45 minutes, on 12/27/2018, average drive time is 5 hrs 32 mins
222028654	At time of inspection right rear turn and brake lamp inoperable on rear of tractor
222028671	Violation(s) of 395.8(f)(5), 395.8(f)(12), 1-2-19 no trailer # / no shipping information.
222028673	Violation(s) of 395.8(f)(5), 395.8(f)(12), 12-29-18 no trailer # / no shipping information.
222028676	Violation(s) of 395.8(f)(5), 395.8(f)(12), 12-26-18 no trailer # / no shipping information.
222028677	right side low beam head lamp is inop.
222028694	No periodic inspection for the trailer
222028739	Check the Portal website and the UCR fee has not been paid for 2019.
222028785	No updated annual inspection for truck-tractor at the time of inspection. Expired 04/30/2018.
222028791	The driver was observed following to close approxomately one car length behind another vehicle..
222028792	27-51-306  unsafe lane change cutting before it is safe.
222028804	Trailer axle group 37,880lbs. Legal 34,000lbs.
222028807	No ELD for trip from Hatfield, AR to Arkansas City, AR., 191.51 Air miles, 229 Road Miles.
222028808	Navigation system mounted inside the swipe areea of the windshield wipers in the drivers view.
222028809	None available for unit # 1. Last annual inspection was dated 12-2017 (Sticker on Cab), Paper copy showed inspection dated 10-25-2017.
222028813	82,400lbs on gross weight. 2,400lbs over on gross weight.
222028840	UCR fees not paid for 2019. Verified via safer.
222028867	Driver has wife and 2 kids in truck.  No authorization from company.
222028889	False Log on 12/31/2018, SEE INSPECTION NOTES.
222028926	DRIVERS LOG NOT CONNECTED TO TRUCK AT TIME OF STOP. DRIVER HAS A MANUAL ENTRY OF OFF DUTY FROM 3:15 AM TO 5:20 AM ON THE DAY OF STOP. STOP TIME WAS 4:18 AM.
222028955	Axle #1, right side brake out of adjustment.  2 1/4.
222028986	LT side head lamp is inop
222028988	damage through to inner reinforcement ply but ply is not damaged - the white mesh ply showing has not been damaged yet
222028989	27-14-714 No Trailer registration in posssession at time of stop
222028990	ST.ST. 27-51-201 speeding 69 in 55.
222028992	ST.ST.  23-13-605 Fail to pay UCR fees.
222028993	Rightside front lowbeam inop.
222028995	Leftside front locking pin not engaged.
222029021	LAST THAT CAN BE LOCATED OR PROVIDED BY DRIVER DATES 2016
222029025	EXPIRED 2017
222029027	27-16-601  Driver is not in possession of his drivers license at time of stop.
222029028	27-35-203 Over weight on allowable gross, total gross weight is 91,200 lbs.  The maximum allowed weight on a state highway with farm products is 85,000 lbs.
222029037	COPY IN HAND SHOWS EXPIRED MAR 2018, VALID RETURN THROUGH ATLAS
222029041	stst27-51-201-Speeding-63 miles per hour in a 55 mile per hour zone.
222029043	WINDSHIELD WASHING SYSTEM INOPERATIVE / NO FLUID
222029044	RIGHT AND LEFT MISSING
222029118	loose lug nut, axle 5, right side.
222029119	Damaged windshield with multiple intersecting cracks involving the drivers view.  Right 1/2 of windshield.
222029122	Load of logs in the dark, extending more than 4 feet beyond the rear of the trailer and more than 2 feet wide with 2 flags when 2 lamps required.
222029124	Marker lamps, left and right sides, front of trailer.
222029126	axle 4, right side has a split approx. 6 inches long in the sidewall near the bead.
222029127	Driver said that speedometer does not work at times.
222029129	Current proof of insurance was not kept with CMV.
222029130	Trailer
222029139	An extra mud flap & mud flap bracket was laying on top the frame behind the trucks cab.  Mud flap and bracket was not prevented from falling onto the roadway.
222029140	Tractor License plate is expired.  Expiration was 9/30/18.
222029141	Damage to the tire on axle 5, right side, inside tire has exposed an area of the inner belting that is about 1" wide x 12" long,
222029143	Slick tire, axle 5, left side, inside tire has 1/32" tread depth or less on the majority of the tire.  Located next to antoher tire in the same condition.
222029161	right side tail lamp INOP
222029162	right signal light INOP at time of stop
222030867	AT TIME OF INSPECTION TRUCKS FRONT RIGHT TURN SIGNAL INOPERATIVE.
222030869	AT TIME OF INSPECTION TRUCKS RIGHT REAR BRAKE LIGHT INOPERATIVE.
222030875	DRIVERS SIDE TURN SIGNAL/HAZARD LAMP INOP
222030876	DAMAGE TO REAR DRIVER SIDE WALL AND DOOR
222030877	DAMAGE TO REAR END PROTECTION
222030886	Careless driving, driver not pay attention and ran into the back of a NMDOT snowplow truck.
222030887	Front bumper damages, crack and or broken
222030888	Hood, and hood grill damages, broken and or cracked
222030889	Radiator, transmission cooling damages, bend inward but not fluids are leaking.
222030918	trailer split in to two pieces.
222030919	4th and 5th axle on trailer knocked off from trailer frame.
222030920	load spilled from trailer on the road.
222030921	steering axle left side steering.
222030922	windshield damage right and left side.
222030925	cab broken from frame moving rearward.
222030926	steering axle left side broken off axle.
222030930	left and right side turn  signal, hazard inoperative.
222030936	ABS lamp on trailer inoperable at time of inspection.
222030945	4x4 BOARDS ON BOTH SIDES OF TRAILER NOT PROPERLY SECURED USING BUNGEE CORDS WITH NO WLL.
222030948	Failing to certify data collected by logging device with signature on 12/27-12/31/2018
222030955	PLASTIC CONTAINERS ON CATWALK NOT PROPERLY SECURED, USING BUNGEE CORD WITH NO WLL.
222030957	LEFT FRONT HEAD LAMP INOPERABLE.
222030959	NO PROOF OF VEHICLE REGISTRATION
222030967	Truck registration not in possesion at time of inspection
222030968	Axle 2 right inside tire is flat.
222030969	Emergency brake hose from truck to glad hand is cut to the outer reinforcement ply.
222030980	BUCKETS ON CATWALK NOT PROPERLY SECURED USING ROPE WITH NO WLL.
222030981	DRIVER FAILED TO ENTER INSPECTION CHECKPOINT
222030983	DRIVER FAILED TO ENTER INSPECTION CHECKPOINT
222030985	FOLLOWING LESS THAN 1 CMV LENGTH BEHIND ANOTHER CMV
222030994	ABS INDICATOR LAMP INOPERATIVE AT TIME OF INSPECTION
222030996	NO SPARE FUSES IN POSSESSION AT TIME OF INSPECTION
222031022	speed 43 in a posted 35
222031025	Axle 3 right outside tire 44 PSI, sidewall rated for 110 PSI. Less than 50% at the time of inspection
222031032	Emergency side brake hose (red) between unit 1 and 2 chafing on front mud flap with reduction in hose diameter at time of inspection.
222031035	Violation(s) of 395.8(d)(9) Driver failed to included co-drivers name for each 24 hour period.
222031037	Left side rear hazard lamp inoperable at time of inspection.
222031042	failed to obey traffic signs
222031065	Driving after 70 hours on duty in a 8 day period on 01/01/2019
222031068	LS and RS upper side marker lamps INOP of front side of trailer
222031070	Not filing New Mexico weight distance tax for quarter 9-30-2018.
222031074	Violation(s) of 395.8(f)(7) Driver failed to record driver signature/certification for each 24 hour period at time of inspection.
222031084	Missing 1 of 3 trianles.
222031098	Failure to obey signs. Driver failed to obey a 10 ton weight limit sign and a 5 ton weight limit sign on Eddy CR 716.
222031099	No Log on 01/01/2019. No log book.
222031101	Axle 2 left inside measuring at 50 PSI sidewall rated for 110 PSI. Less than 50% at the time of inspection
222031104	AXLE 3 RIGHT SIDE INSIDE TIRE MEASURING AT 45PSI/110, LESS THAN 50% MAXIMUM PSI ALLOWED
222031437	FOLLOWING THE TT/ST IN FRONT OF HIM CLOSER THAN 200 FEET FOR 1 MILE.  300 FEET IS REQUIRED.  WARNING
222031454	58 mph in 50 mph zone
222031455	No triangles in possession
222031524	# 3 AXLE L/S OUTSIDE TIRE
222031525	47-11-801.A  OPERATE VEHICLE AT SPEED GREATER THAN PROPER
222031528	WIRING CONECTION DAMAGED
222031529	FRONT DRIVERS SIDE WELDS BROKE
222031544	Windshield cracked driver's side.
222031546	Passenger side, below the passenger side seat, a connection into an air tank leaking air. Proper connection.
222031548	Air hose located in front of axle 4 broken. Appears the hose pulled out of the metal part of the connection. See photograph.
222031627	DRIVERS CDL IS SUSPENDED BY HIS HOME STATE OF MICHIGAN, VERIFIED BY TROOP H COMM AND CDLIS AND OLETS.
222031646	BOTH INOP
222031684	UNABLE TO SHOW ANY TYPE OF LOG.....
222031715	NOT WEARING
222031769	69/45
222031786	59/45
222031860	NO FIRE EXTINGUISHERS
222031861	PASSENGERS SIDE REAR TURN SIGNAL INOP.
222031863	3/5 AMBER TOP DECK LAMPS INOP/1/5 MISSING AMBER LENS COVER
222031864	AXLE 5 PASSENGERS SIDE OUTSIDE DUAL STEEL BELTS EXPOSED LESS 2/32ND TREAD ON FLAT SPOT.
222031866	EXPIRED INSURANCE
222031868	71/65 ZONE
222031869	FAIL TO DISPLAY CMV TRAILER REGISTRATION PROPERLY.   REAR GATE WAS OPEN COVERING THE ENTIRE TX REGISTRATION PLATE.
222031877	64 in 55 zone given a warning.
222031926	FAIL TO CARRY VALID INSURANCE VERIFICATION
222031936	73 MPH IN 65 MPH ZONE
222031996	TAG ON CMV 3CQ490-OK, HAS BEEN REPLACED BY 19045V-OK
222031998	DRIVER AND PASSENGER SIDE INOP
222032000	PASS VEHICLE TURNING LEFT ON THE SHOULDER
222032057	Passenger side top marker light inoperable.
222032100	No vehicle registration in possession- unit 1
222032101	No vehicle registration in possession- unit 2
222032104	Right stop light
222032135	Operating a CMV without a CDL on 1/2/2019
222032136	Right and Left highbeam headlamps inoperative
222032141	Right rear turn signal inoperative
222032241	No proof of insurance at time of inspection.
222032242	No Tarp.
222032284	No tarp on load when required.
222032286	No DL in possession.
222032346	Left brake light driver side of tractor INOP.
222032347	Right rear brake light passenger side of trailer INOP.
222032362	Emergency gladhand connection to unit 2 audible air leak.
222032366	Could not provide insurance information on vehicle.
222032395	No proof of insurance at time of inspection.
222032396	Washing system no fluid as required.
222032405	Axle 3 right outside tire.
222032434	Axle #2 has contaminated braking surface from leaking inner wheel seal.
222032435	Axle #2 inner wheel hub leaking.
222032583	No sticker or paperwork
222032584	Sticker shows last inspection done on 6/2017
222032636	Axle 5 left inside tire. 0psi
222032639	Driver disregarded signage directing her to enter weigh station
222032640	Over length kingpin 44ft 6in
222032854	Left low beam head lamp
222032964	Over length (Kingpin to tandem 43'10/41')
222032972	No fire extinguisher
222033002	False Log on 12/31/2018, driver showing off-duty for 24 hours when he states he picked up load from Miami FL same date around 8:00am
222033106	Driver side trailer turn signal INOP
222033107	37,360 lbs on trailer tandem. Allowed 34,000 lbs
222033186	ELD NOT OPERATIONAL
222033188	VIOLATION OF MUFFLER LAW, EXCESSIVE SMOKING
222033189	IS BENT UP UNDERNEATH TRAILER
222033226	37,100 lbs on TL tandem. Allowed 34k
222033227	Reg carried expired 09/2018
222033234	36940 on trailer tandems allowed only 34000
222033237	36300 on truck tandems allowed 34000
222033247	36960 on trailer tandems allowed only 34000
222033264	5th wheel locking pins not engaged
222033344	SIGN SAYS YIELD ON GREEN. DRIVER DID NOT HAVE GREEN ARROW TO PROCEED. ONCOMING VEHICLE WAS FORCED TO STOP TO ALLOW DRIVER TO PROCEED
222033351	OVERWEIGHT TRAILER TANDUMS 35740 lbs - OVER 1740 lbs
222033404	Axle 3 left brake lining has a crack exceeding 1.5 inches
222033521	DUE CARE
222033523	DRIVERS SIDE MORROR BROKEN
222033569	Trailer Brakes inop
222033618	Driving beyond 8 hour limit since end of the last off duty period on 01/01/2019
222034474	55 ZONE
222034568	Rear of unit two left side turn signal
222034570	Rear of unit two right and left side brake lamp
222034625	40 mph zone 9-21-5-6(a)
222034716	On I-865 westbound 1.4 MM the driver was traveling 72 MPH in a 60 MPH speed zone. (Radar)
222034717	On I-865 westbound 1.4 mile marker the driver was traveling in the left lane after passing a sign at the 4 mile marker restricting its usage.
222034871	71/60 (Lidar 407')
222034975	RIGHT/PASSENGER SIDE REAR AXLE INNER WHEEL SEAL LEAKING NOT ON PADS YET
222034976	NO MEDICAL CARD IN POSSESSION NON-CDL CMV (NO PAST HISTORY)
222035034	1occ, driver traveling in the center lane operating a blue freightliner tractor / white stoughton trailer, lidar stationary 63/55mph
222035095	1occ, driver w/m traveling in the center lane operating a red peterbilt tractor / reitnouer trailer, lidar stationary 60/50mph
222035357	LEFT LANE LIDAR TRACK 73/65 MPH @ 1254 FEET PASSING ANOTHER CMV
222035375	36420/34000 drive tandem
222035410	Violation(s) of 395.8(f)(5), 395.8(f)(12) 12/29/18 no BOL, no trailer number
222035411	Violation(s) of 395.8(f)(5), 395.8(f)(12) 12/27/18  no BOL, no trailer number
222035423	LEFT LANE LIDAR TRACK 84/65 MPH @ 995 FEET PASSING ANOTHER CMV
222035438	36220/34000 trailer tandem
222035481	no license in possession 9-24-13-3 stated left wallet behind
222036239	No ELD or paper logbook.
222036246	PASSENGER SIDE HEADLAMP OUT
222036251	AXLE 4 DRIVER SIDE OUT OF ADJUSTMENT
222036258	MISSING 2 CHAINS ON EQUIPMENT
222036261	PASSENGER SIDE HEAD LAMP OUT.
222036264	BOTH BRAKE LIGHTS ON TRCUK INOPERABLE.
222036272	REAR LEFT SIDE
222036274	No Log on 1/2/2019
222036276	FAILED TO HAVE LOG PAGES IN VEHICLE
222036302	WINDSHIELD HAS INTERSECTING CRACKS
222036303	LEFT AND RIGHT CAB CLEARANCE LAMPS INOP
222036304	ALL THREE CAB ID LAMPS INOP
222036308	LEFT MUD FLAP INSUFFICIENT LENGTH TO MEET 22.5 DEGREE REQUIREMENT, MCLA 480.25
222036312	TRAILER SPARE NOT SECURED
222036315	AXLE 5 TIRES COME IN CONTACT WITH EACH OTHER.
222036316	AXLE 5 RIGHT BREAK CHAMBER WITH AUDIBLE AIR LEAK WHEN BREAKS ARE APPLIED.
222036317	LEFT AND RIGHT STOP LAMPS INOPERABLE.
222036322	AXLE 5 RIGHT INSIDE TIRE FLAT
222036323	AXLE 5 RIGHT SIDE
222036325	AXLE 6 RIGHT SIDE BRAKE CHAMBER, BLOWN DIAPHRAM- FAILED AIR LOSS RATE
222036326	5000 LBS OVER ON REAR TANDEM
222036335	Michigan registration expired on 12/31/2018.
222036380	Operating a CMV without a CDL on 1/2/2019. DRIVER'S CDL HAS BEEN DOWNGRADED BY MI SOS OFFICE TO A OPERATORS LICENSE ON 12/17/2018
222036381	BOTH HIGH BEAMS INOP
222036383	EXPIRED IN LEIN/SOS AND PROOF OF REGISTARTION ON 12/31/2018
222036384	PIG TAIL LOOSE CAUSING TRAILER LIGHTS TO BE INOP- CORRECTED ON SCENE
222036385	RIGHT SIDE STOP LAMP INOP
222036388	AXLE 10 RIGHT OUTSIDE TIRE
222036394	NO WIPER FLUID
222036401	NO NAME DISPLAYIED
222036412	NO USDOT# DISPLAYED ON EITHER SIDE OF THE VEHICLE
222036419	Operating a CMV without a CDL on 1/2/2019. CDL down graded/expired med cert
222036421	Excessive left lane use/Impede normal vehicular flow of traffic
222036429	ONE CHAIN NOT ATTACHED AND DRAGGING.
222036461	Inop front right turn signal
222036464	Registration card not in vehicle as required
222036472	RIGHT SIDE LOW BEAM
222036476	WRONG USDOT NUMBER DISPLAYED ON TRUCK
222036486	PASSANGER SIDE TURN SIGNAL AND HAZARD LAMP INOP.
222036488	RED RAG PUT THROUGH CENTER OF FILL CAP TO PREVENT SPILLAGE FROM SLOSHING.
222036494	ROLLED STOP SIGN
222036519	Cause/Allow vehicle to operate 2,800 LBS overweight on rear tandem axles 4 & 5
222036521	Inoperative left rear turn signal
222036523	Inoperative left rear hazard warning lamp
222036531	ABS INDICATOR LAMP ON SEMI-TRAILER INOPERABLE AT TIME OF INSPECTION.
222036540	FRONT CENTER IDENTIFICATION LAMP INOPERABLE
222036541	TRAILER PLATE RUSTED, UNREADABLE
222036562	MIDDLE ID LAMP INOP
222036572	1379
222036575	NO STRAPS ON PALLET OF SALT 1113
222036576	NO PLATES ON TRAILER 1403
222036582	OVER LEGAL TANDEM AXLE WEIGHT AXLES 4-5 BY 1900LBS  1331
222036585	no name or dot number  on  sides  1307
222036586	9'7" wide plow on trialer   1316
222036587	cable 1101
222036588	side and rear at sides  1102
222036590	1102   left turn signal not working
222036591	side and rear corners at rear need red refelctors
222036594	1102 no lights on towed veh at all
222036597	no front plate 1401
222036599	OVER LEGAL TABLE WEIGHT AXLES 3-4 BY 1300LBS  1333
222036601	Violation(s) of 395.8(f)(5), 395.8(f)(9), 395.8(f)(12), 395.8(h)(5) 01/02  DRIVER HAS LOG NOT FILLED OUT WITH ANY OFFICE/BOL/LOCATIONS  1309
222036606	1102 no reflectors on tractor mud flaps
222036612	on hand held cell phone 1114
222036613	1360 propane torch loose in bx in back he secured it at the scene
222036620	HAULING FOR HIRE DOES NOT OWN LOGGING EQUIPMENT 1403
222036622	No rear plate and old plate displayed on front
222036628	1103
222036632	Violation(s) of 395.8(f)(4), 395.8(f)(11) 12/27/2018
222036636	Over weight on axles 3-4 by 6820lbs. 1331
222036639	Fire extinguisher not secured. 1310
222036641	Expired MN annual. 1342
222036642	Failure to inpsect emergency equipment. 1199
222036643	No fire extinguisher. 1310
222036644	Over weight on axles 2-3 by 940lbs (minus 550 for APU) over weight then by 390lbs. 1331
222036664	1403 WISCONSIN REGISTRATION IS EXPIRED
222036666	1380 Operating a CMV without a CDL on 01/01/2019 / DRIVER NOT WEARING CORRECTIVE LENSES AS REQUIRED -COMMERCIAL - CORRECTIVE LENSES
222036670	Fire extinguisher not secured/lying loose on the floor.  1310
222036674	MIP # 1992823  EXPIRED 31 DEC 2018
222036678	NO AOBRD INSTRUCTION MANUAL  1309
222036679	169.824 OVER TANDEM WEIGHT BY 1620 LBS (TRAILER)  1331
222036686	No Name on CMV
222036687	No FE in veh
222036692	DISCHARCHED 1379
222036702	AIR LINES RUBBING ON DECK BEHIND CAB- 1 LINE RUBBED INTO THE START OF REENFORCEMENT PLY  1101
222036703	THE COMPANY WAS WARNED EARLIER BUT THE DRIVER IS NEW TO THE COMPANY TODAY  1309
222036709	PASSENGER NOT WEARING A SEAT BELT  MSS 169.686 VICTOR ANGEL MARTINEZ DOB 01-28-95   1103
222036714	TR OVER WEIGHT ON AXLE 2 BY 2460 LBS - 10% / 2000 LBS FOR WINTER LOAD INCREASE = 460 LBS OVER.      1330
222036715	TR EXPIRED CAB CARD.    1405
222036723	NO CAB CARD IN TRUCK // 1405.
222036724	SPEEDING 69MPH IN A POSTED 60MPH ZONE. // 1004.
222036725	Fire Ext. showing Recharge  1310
222036726	NO US INFROTN OF DOT AND NUMBER AS REQUIERD ON BOTH SIDES OF TRUCK /// 1307
222036730	65 MPH IN A 55 MPH ZONE.   1004.
222036732	SPEEDING 59MPH IN A POSTED 50MPH ZONE. // 1004.
222036733	MC LEASES VEHICLE FROM MK TRANSPORT, NO LEASE AGREEMENT IN POSSESION AT TIME OF INSPECTION (DRIVER ADMIT THEY LEASE AND DOES NOT HAVE LEASE WITH) 1199
222036735	DRIVER HAS NO MED CARD DID NOT KNOW THAT HE NEED ONE // 1308
222036737	1103
222036740	1342
222036741	1199  ROLL-OFF EXTENDING AT LEAST 5 FT BEYOND REAR GUARD. NO FLAGS/LIGHTING.
222036745	2017 MN annual inspection sticker on tractor. // 1342
222036747	1004
222037582	FRONT PASSENGER SIDE STEER BRAKE IS DISCONNECTED AND CAPPED OFF MAKING THE BRAKE INOPERATIVE
222037943	Onboard recording device information requirements not met on 01/01/2019  Not connetion with pwoer unit driver unable to gain connectivity
222037974	Improper shipping name, Shipping paper reads Dioctyl Phthate, Prroper shipping name Environmentally hazardous substance liquid nos
222037975	HM being transported is a RQ material
222038035	No instructions for AOBRD with driver or vehicle at time of inspection.
222038037	No current annual inspection located with tractor at time of inspection.  Last inspection on drivers side of vehicle and in registration book from Aug. 2017.
222038053	WARNING
222038072	Overweight on #3 axle 1,600 lbs.
222038078	Operating a CMV without a CDL on 01/02/2019, driver showing cancelled through AL at time of inspection.
222038084	WARNING
222038118	Carrier has no intrastate operating authority (no CPCN number). Verified via PUCO's OMCIS website and a phone call to PUCO's carrier registration department.
222038129	IN VIOLATION ON 1/2, INFO MISSING
222038130	IN VIOLATION ON 1/2, INFO MISSING
222038141	Axles 5 and 6 weighed 39,700 lbs / allowed 34,000 lbs / 5,700 lbs overweight. WARNING
222038163	RIGHT LOW BEAM HEADLAMP INOPERABLE.
222038164	AUDIBLE AIR LEAK AT RED EMERGENCY GLAD HANDLE (PASSED AIR LOSS RATE TEST)
222038168	AXLE #2 & 3 WHEEL BROKEN.
222038170	AXLE #4 & 5 BROKEN RESULTING IN SHIFTING FROM NORMAL POSITION.
222038205	4511.33 MARKED LANES VIOLATION
222038206	NO COPY OF CURRENT REGISTRATION AT TIME OF INSPECTION
222038211	FAILURE TO DISPLAY CURRENT VALIDATION STICKER
222038229	Driver could not show/find blank logs for electronic back-up.
222038235	explosive placard left side of front bumper
222038261	Axle #4 right side inside tire less than 50% psi.
222038268	Parking brake system inoperable at time of inspection CMV moves durning parking brake function test
222038271	right rear missing
222038272	inop on trailer
222038277	axle #4 right control arm bushing worn(able to move axle by hand)
222038279	left high beam head lamp
222038280	axle #3 right,shoes worn,need replaced
222038343	Last done 07/2017
222038344	Right front steer axle
222038349	Right rear outside tire is making contact with chassis causing a groove in tire.
222038354	OVER TANDEM (2,3) 2,340 LBS
222038385	NO ENTRIES IN LOGS FOR 12/31,1/1,1/2- LAST ENTRY ON 12/30/18 SHOWS OFF DUTY NO CITY OR STATE FLAGGED
222038406	LAST UPDATED 10/31/2016.
222038424	Tail lamps inop.
222038448	Driver could not produce a valid insurance card at time of inspection.
222038461	Liscense plate light inoperable
222038463	Center ID lamp of center three inoperable.
222038504	NO FIRE EXTNGUISHER
222038506	INOPERABLE BREAKAWAY BRAKING SYSTEM ON TRAILER, NO BRAKES ON TRAILER ARE APPLIED WHEN BREAK AWAY SWITCH IS ACTIVATED, CORD NOT ATTACHED TO POWER UNIT
222038513	PIGTAIL NOT CONNECTED
222038538	#3 RIGHT OUTSIDE TIRE SIDEWALL CUT WITH CORDS EXPOSED
222038543	FRONT LEFT MARKER LAMP
222038545	FRONT CENTER ID LAMP
