INSP_VIOLATION_ID	INSPECTION_ID	SEQ_NO	PART_NO	PART_NO_SECTION	INSP_VIOL_UNIT	INSP_UNIT_ID	INSP_VIOLATION_CATEGORY_ID	OUT_OF_SERVICE_INDICATOR	DEFECT_VERIFICATION_ID	CITATION_NUMBER	PART_SECTION_ID
222067755	65546313	1	393	9(a)	1	166917361	20	N	3		9172
222067756	65546313	2	396	17(c)	2	166917362	29	N	3	W540621	9202
222067757	65546313	3	393	9(a)	2	166917362	20	Y	99		283327
222067758	65546313	4	393	9(a)	2	166917362	20	N	3		9172
222067763	65546317	1	392	2C	D		40	N	3	W537873	9389
222067768	65546323	1	392	2LV	D		14	N	3	W540424	385702
222067782	65546324	1	395	8(a)(1)	D		3	Y	3	W533975	396451
222067783	65546324	2	395	3(a)(2)-PROP	D		4	N	3		393840
222067784	65546324	3	395	3(a)(3)-PROP	D		4	N	3		393841
222067785	65546324	4	395	8	D		7	N	3		9194
222067786	65546324	5	395	8	D		7	N	3		9194
222067787	65546324	6	395	8	D		7	N	3		9194
222067788	65546324	7	395	3(a)(3)(ii)	D		7	N	3		395654
222067789	65546324	8	393	60(c)	1	166917389	26	N	3		257571
222067790	65546324	9	393	95(a)	1	166917389	28	N	3		9178
222067791	65546324	10	393	209(b)	1	166917389	21	N	3		9265
222067792	65546324	11	393	209(d)	1	166917389	21	N	3		8493
222067793	65546324	12	393	45(d)	2	166917390	16	N	3		392463
222067794	65546324	13	396	5(b)	2	166917390	30	N	3		9211
222067795	65546324	14	393	47(e)	2	166917390	15	N	3		257965
222067796	65546324	15	393	53(b)	2	166917390	16	N	3		385681
222067797	65546324	16	393	47(e)	2	166917390	15	N	3		257965
222067798	65546324	17	396	3(a)(1)	2	166917390	15	Y	99		383183
222067799	65546325	1	395	22(g)	D		7	N	3		396435
222067800	65546326	1	395	3(a)(2)-PROP	D		4	Y	3		393840
222067802	65546329	1	383	23(a)(2)	D		14	Y	3	20192420159084	9547
222067803	65546329	2	396	17(c)	1	166917398	29	N	3		9202
222067804	65546329	3	393	95(a)	1	166917398	28	N	3		9178
222067805	65546329	4	393	95(f)	1	166917398	28	N	3		9180
222067806	65546329	5	393	205(c)	1	166917398	24	Y	99	W540622	9458
222067807	65546329	6	396	17(c)	2	166917399	29	N	3		9202
222067808	65546329	7	393	43	2	166917399	16	Y	99		9279
222067858	65529852	1	395	22(h)(2)	D		7	N	3		396436
222067863	65546346	1	393	45(b)(2)	1	166917455	16	N	3		257958
222067864	65546346	2	393	55(d)(3)	1	166917455	16	N	3		9304
222067865	65546346	3	393	55(e)	2	166917456	16	N	3		9305
222067866	65546346	4	396	17(c)	2	166917456	29	N	3	W537337	9202
222067867	65546346	5	392	2RG	D		30	N	3	20192420708981	385705
222067868	65546347	1	392	2-SLLEWA1	D		47	N	3	W537338	390260
222067897	65546357	1	393	9(a)	1	166917481	20	N	3		9172
222067898	65546357	2	393	9(a)	1	166917481	20	N	3		9172
222067899	65546357	3	393	9(a)	1	166917481	20	N	3		9172
222067900	65546357	4	393	45(d)	1	166917481	16	N	3		392463
222067901	65546357	5	393	209(d)	1	166917481	21	Y	99		8493
222067902	65546357	6	393	9(a)	2	166917482	20	N	3		9172
222067903	65546358	1	393	9(a)	1	166917483	20	N	3		9172
222067904	65546358	2	393	45(b)(2)	1	166917483	16	N	3		257958
222067920	65546359	1	392	2-SLLEWA2	D		47	N	3	W534417	390250
222067923	65546361	1	396	5(b)	1	166917503	30	N	3		9211
222067924	65546361	2	393	47(a)	1	166917503	16	Y	99		257961
222067925	65546361	3	393	11	2	166917504	20	N	3		9422
222067926	65546361	4	393	9(a)	2	166917504	20	N	3		9172
222067927	65546361	5	392	9(a)	2	166917504	25	Y	99		9411
222067928	65546361	6	393	9(a)	2	166917504	20	N	3		9172
222067940	65546363	1	393	9(a)	1	166917510	20	N	3		283327
222067941	65546364	1	392	2DIM	2	166917513	30	N	3		385697
222067942	65546365	1	393	75G-LOAD	1	166917514	23	Y	99		396403
222067943	65546367	1	392	2-SLLS4	D		45	N	3	E-TICKET	390240
222067946	65546369	1	392	2-SLLS3	D		45	N	3	VERBAL	390248
222067947	65546370	1	392	2-SLLS3	D		45	N	3	VERBAL	390248
222067948	65546371	1	392	2-SLLEWA1	2	166917526	47	N	3		390260
222067949	65546372	1	392	2	D		14	N	3	190557006	8496
222067950	65546376	1	393	9(a)	2	166917534	20	Y	99		283327
222067951	65546376	2	393	9(a)	2	166917534	20	N	3		396450
222067952	65546377	1	392	2-SLLEWA1	1	166917535	47	N	3		390260
222067953	65546379	1	393	60(c)	1	166917538	26	N	3		257571
222067954	65546380	1	393	205(c)	1	166917539	24	N	3		9458
222067955	65546380	2	392	2-SLLEWA2	2	166917540	47	N	3		390250
222067956	65546383	1	392	2-SLLEWA2	2	166917546	47	N	3		390250
222067958	65546385	1	392	2-SLLEWA2	1	166917549	47	N	3		390250
222067959	65546386	1	393	100(a)	2	166917552	25	Y	99		9417
222067960	65546386	2	392	2DIM	2	166917552	30	N	3	190555167	385697
222067961	65546387	1	396	3(a)(1)	2	166917554	15	Y	99		383183
222067962	65546388	1	393	9(a)	1	166917555	20	Y	99		283327
222067963	65546388	2	383	23(a)(2)	D		14	Y	3		9547
222067964	65546388	3	392	2-SLLEWA1	1	166917555	47	N	3		390260
222067965	65546389	1	393	11	1	166917556	20	N	3		9422
222067966	65546389	2	392	2-SLLEWA1	1	166917556	47	N	3		390260
222067967	65546389	3	396	3(a)(1)	1	166917556	30	N	3		9203
222067968	65546396	1	392	2-SLLEWA1	2	166917568	47	N	3		390260
222067969	65546397	1	393	207(f)	2	166917570	22	N	3		9263
222067970	65546401	1	393	75G-LOAD	1	166917577	23	Y	99		396403
222067971	65546401	2	393	9(a)	2	166917578	20	Y	99		9172
222067972	65546402	1	392	2-SLLEWA2	2	166917580	47	N	3		390250
222067973	65546404	1	393	207(b)	2	166917584	22	Y	99		9460
222067974	65546404	2	393	207(a)	2	166917584	22	N	3		9459
222067975	65546404	3	396	3(a)(1)	2	166917584	15	Y	99		383183
222067976	65546404	4	396	3(a)(1)	2	166917584	16	N	3		9204
222067977	65546407	1	392	2DIM	2	166917590	30	N	3	190556296	385697
222067978	65546407	2	393	207(b)	2	166917590	22	Y	99		9460
222067979	65546407	3	393	78	1	166917589	26	N	3		9347
222067980	65546408	1	392	2-SLLEWA2	1	166917591	47	N	3		390250
222067981	65546409	1	392	2-SLLEWA2	2	166917594	47	N	3		390250
222067982	65546410	1	392	2DIM	2	166917596	30	N	3	190531102	385697
222067983	65546411	1	395	15B	D		7	N	3		9185
222067984	65546412	1	395	8K2	D		3	Y	3		9198
222067985	65546415	1	392	2DIM	2	166917606	30	N	3	190-531104	385697
222067986	65546416	1	392	2DIM	2	166917608	30	N	3	190531105	385697
222067987	65546417	1	392	2-SLLEWA1	1	166917609	47	N	3	C032330	390260
222067988	65546418	1	392	2-SLLEWA2	1	166917611	47	N	3	C032331	390250
222067989	65546420	1	392	2-SLLEWA1	2	166917616	47	N	3		390260
222067990	65546422	1	390	21(b)	1	166917618	30	N	3		9426
222067991	65546427	1	392	2DIM	1	166917628	30	N	3	190554015	385697
222067993	65546429	1	392	2WC	2	166917633	30	N	3	!90554016	385707
222067994	65546432	1	393	130	2	166917639	25	Y	99		3556
222067995	65546433	1	395	8F01	D		3	N	3		396252
222067996	65546434	1	392	2PK	D		14	N	3	VERBAL	385704
222067997	65546434	2	395	8F01	D		3	N	3	190535523	396252
222067998	65546440	1	393	48(a)	1	166917653	16	Y	99		9288
222067999	65546443	1	392	2-SLLS3	D		45	N	3	VERBAL	390248
222068000	65546450	1	393	45(d)	2	166917670	16	Y	99		392463
222068001	65546462	2	393	201(a)	2	166917688	19	Y	99	WARNING	9445
222068002	65546463	1	393	75A	1	166917689	23	Y	99	WARNING	8494
222068003	65546463	2	393	47(d)	1	166917689	16	Y	99	E CITE	257964
222068004	65546463	3	396	5(b)	1	166917689	24	Y	99	E CITE	392474
222068005	65546466	1	392	2-SLLEWA2	1	166917695	47	N	3		390250
222068006	65546466	2	393	47(e)	1	166917695	15	N	3		257965
222068007	65546466	3	393	53(b)	1	166917695	16	N	3		385681
222068008	65546466	4	396	3(a)(1)	1	166917695	15	Y	99		383183
222068009	65546466	5	393	48(a)	1	166917695	16	Y	99		9288
222068010	65546466	6	396	5(b)	1	166917695	24	Y	99		392472
222068011	65546466	7	395	8(a)(1)	1	166917695	3	Y	99		396451
222068012	65546467	1	395	8(a)(1)	D		3	Y	3		396452
222068013	65546467	2	391	41(a)-F	D		1	Y	3	ECITE	393832
222068014	65546468	1	395	8(a)(1)	D		3	Y	3		396452
222068015	65546471	1	393	75(a)(3)	2	166917701	23	Y	1		9334
222068016	65546471	2	393	75(a)(3)	2	166917701	23	Y	1		9334
222068017	65546471	3	393	47(d)	1	166917700	16	Y	1		257964
222068018	65546471	4	393	47(d)	1	166917700	16	Y	1	190554591	257964
222068019	65546471	5	393	48(a)	1	166917700	16	Y	1		9288
222068020	65546471	6	396	5(b)	1	166917700	30	N	3		9211
222068021	65546471	7	393	47(d)	1	166917700	16	Y	1		257964
222068022	65546472	1	393	207(f)	1	166917702	22	Y	99		9263
222068023	65546474	1	395	8(a)(1)	D		3	Y	3	ECITE	396451
222068024	65546474	2	391	41(a)-F	D		1	N	3	WARNING	393832
222068025	65546474	3	392	4A-POS	C		99	N	3	317684G	396410
222068026	65546475	1	392	2-SLLS2	D		45	N	3		390247
222068028	65546479	1	393	48(a)	1	166917714	16	Y	99		9288
222068029	65546481	1	396	3(a)(1)	1	166917716	15	Y	99		383183
222068030	65546481	2	393	47(e)	1	166917716	15	N	3		257965
222068031	65546481	3	393	53(b)	1	166917716	16	N	3		385681
222068032	65546481	4	396	5(b)	1	166917716	24	Y	99		392472
222068033	65546481	5	393	47(d)	1	166917716	16	Y	99		257964
222068034	65546481	6	393	70	1	166917716	17	Y	99		9322
222068035	65546481	7	396	5(b)	1	166917716	30	N	3		9211
222068036	65546482	1	392	16	D		11	N	3		9386
222068037	65546482	2	395	22(g)	1	166917718	7	N	3		396435
222068038	65546482	3	396	5(b)	1	166917718	30	N	3		9211
222068039	65546483	1	392	2-SLLEWA1	D		47	N	3		390260
222068040	65546484	1	396	5(b)	1	166917722	30	N	3		9211
222068041	65546484	2	393	47(e)	1	166917722	15	N	3		257965
222068042	65546484	3	393	53(b)	1	166917722	16	N	3		385681
222068043	65546484	4	396	3(a)(1)	1	166917722	15	Y	99		383183
222068045	65546489	2	396	3(a)(1)	2	166917735	30	N	3	WARNING	9203
222068046	65546489	3	396	3(a)(1)	2	166917735	30	Y	99	WARNING	9203
222068047	65546489	1	393	48(a)	1	166917734	16	N	3	WARNING	9288
222068048	65546490	1	393	75A	1	166917736	23	Y	99	WARNING	8494
222068049	65546490	2	393	95(a)	1	166917736	28	N	3	WARNING	9178
222068050	65546490	3	393	47(e)	2	166917737	15	N	3	WARNING	257965
222068051	65546490	4	393	53(b)	2	166917737	16	N	3	WARNING	385681
222068052	65546490	5	393	45(b)(2)	2	166917737	16	N	3	WARNING	257958
222068053	65546490	6	396	3(a)(1)	2	166917737	15	Y	99	190530061	383183
222068054	65546490	7	395	8(a)(1)	D		3	Y	3	WARNING	396451
222068055	65546491	1	392	2DIM	1	166917738	30	N	3	190530062	385697
222068056	65546492	1	392	2RG	1	166917740	30	N	3		385705
222068057	65546492	2	396	3(a)(1)	1	166917740	30	N	3		9203
222068059	65546495	1	392	2-SLLEWA1	2	166917745	47	N	3		390260
222068060	65546499	1	393	75(a)(3)	2	166917750	23	Y	99		9334
222068061	65546500	1	393	9(a)	1	166917751	20	N	3		9172
222068062	65546500	2	393	47(e)	1	166917751	15	N	3		257965
222068063	65546500	3	393	53(b)	1	166917751	16	N	3		385681
222068064	65546500	4	393	45(b)(2)	1	166917751	16	Y	99		392460
222068065	65546500	5	395	3(a)(3)(ii)	D		7	N	3		395654
222068066	65546501	1	392	2-SLLS4	D		45	N	3	190556678	390240
222068070	65546504	1	392	2-SLLEWA2	D		47	N	3		390250
222068071	65546504	2	392	2RG	2	166917760	30	N	3		385705
222068072	65546505	1	392	2C	D		40	N	3		9389
222068073	65546505	2	393	9(a)	1	166917761	20	N	3		9182
222068074	65546505	3	393	9(a)	1	166917761	20	N	3		9172
222068075	65546506	1	392	2C	D		40	N	3		9389
222068076	65546506	2	392	2RG	1	166917762	30	N	3		385705
222068077	65546506	3	392	2RG	1	166917762	30	N	3	190529786	385705
222068078	65546506	4	393	43	2	166917763	16	Y	1		9279
222068079	65546506	5	392	2RG	2	166917763	30	N	3	190529786	385705
222068080	65546506	6	393	9(a)	2	166917763	20	Y	99		9183
222068081	65546506	7	393	9(a)	2	166917763	20	Y	1	190529786	283327
222068082	65546506	8	393	9(a)	2	166917763	20	Y	1		396450
222068083	65546506	9	393	9(a)	2	166917763	20	N	3		9172
222068084	65546513	1	393	47(e)	2	166917776	15	N	3		257965
222068085	65546513	2	393	53(b)	2	166917776	16	N	3		385681
222068086	65546514	1	396	3(a)(1)	2	166917778	15	Y	99		383183
222068087	65546516	1	172	502(a)(2)	2	166917782	32	N	3		8681
222068088	65546516	2	393	47(e)	2	166917782	15	N	3		257965
222068089	65546518	1	392	2C	D		40	N	3		9389
222068090	65546518	2	392	2RG	1	166917785	30	N	3		385705
222068091	65546518	3	393	9(a)	1	166917785	20	N	3		9172
222068092	65546518	4	392	2RG	1	166917785	30	N	3		385705
222068093	65546519	1	392	2C	D		40	N	3	190529787	9389
222068094	65546519	2	395	8E	D		2	Y	3	190529787	253692
222068095	65546519	3	392	2FT	D		14	N	3		385699
222068096	65546519	4	392	5(a)(2)	D		10	Y	3	190529787	396417
222068097	65546519	5	395	8(a)(1)	D		3	Y	3	190529787	396451
222068098	65546519	6	392	2IRP	1	166917786	30	N	3	190529787	385701
222068099	65546519	7	393	95(a)	1	166917786	28	N	3		9178
222068100	65546519	8	392	2DIM	1	166917786	30	N	3		385697
222068101	65546521	1	393	95(a)	1	166917790	28	N	3		9178
222068102	65546521	2	392	2IRP	1	166917790	30	N	3		385701
222068103	65546526	1	393	75(a)(3)	1	166917800	23	Y	99		9334
222068104	65546527	1	392	2-SLLEWA1	1	166917802	47	N	3		390260
222068105	65546528	1	392	2DIM	2	166917805	30	N	3	190540262	385697
222068106	65546529	1	393	75(a)(3)	2	166917807	23	Y	99		9334
222068107	65546530	1	390	21(b)	1	166917809	30	N	3		9426
222068108	65546530	2	392	2IRP	1	166917809	30	N	3		385701
222068109	65546530	3	392	2RG	2	166917808	30	N	3		385705
222068110	65546531	1	392	2-SLLEWA1	1	166917810	47	N	3		390260
222068111	65546533	1	393	75(a)(3)	2	166917815	23	Y	99		9334
222068115	65546537	1	392	2-SLLS3	D		45	N	3	E-TICKET	390248
222069711	65530580	1	392	2MI	D		14	N	3		385703
222069712	65546553	1	392	11	D		12	N	3		396119
222069713	65546553	2	392	2MI	D		14	N	3		385703
222069744	65546563	1	392	2-SLLS3	D		45	N	3		390248
222069747	65546567	1	392	2-SLLS2	D		45	N	3		390247
222069748	65546567	2	392	16	D		11	N	3	000108411914	9386
222069758	65546568	1	392	2-SLLS3	D		45	N	3	000114330643	390248
222069773	65546577	1	392	2FC	D		41	N	3		9390
222069785	65546581	1	392	2-SLLS2	D		45	N	3		390247
222069786	65546583	1	395	8	D		7	N	3		9194
222069787	65546583	2	393	45(d)	1	166919293	16	N	3		392465
222069788	65546583	3	393	207(f)	2	166919294	22	N	3		9263
222069789	65546583	4	393	86(a)(1)	2	166919294	30	N	3		9360
222069790	65546583	5	393	55(e)	1	166919293	16	N	3		9305
222069819	65546593	1	392	2-SLLS2	D		45	N	3		390247
222069823	65546596	1	392	2-SLLS2	D		45	N	3		390247
222069824	65546596	2	393	9(a)	2	166919331	20	Y	99		283327
222069834	65546600	1	392	2-SLLS2	D		45	N	3		390247
222069835	65546601	1	392	2LC	D		42	N	3		9392
222069836	65546601	2	395	22(g)	D		7	N	3		396435
222069838	65546602	1	393	45(d)	1	166919348	16	N	3		392463
222069839	65546602	2	393	75C	2	166919349	23	N	3		2909
222069844	65546603	1	395	8E	D		2	Y	3	119121397	253692
222069845	65546603	2	395	15G02	D		7	N	3		396190
222069869	65546606	1	392	2-SLLS2	D		45	N	3		390247
222069870	65546606	2	395	15A2	D		7	N	3		396204
222069874	65546610	1	392	2RG	1	166919380	30	N	3		385705
222069884	65546612	1	393	9(a)	1	166919386	20	N	3		9182
222069885	65546612	2	393	9(a)	1	166919386	20	N	3		9183
222069886	65546616	1	392	2C	D		40	N	3	000120183693	9389
222069897	65546619	1	392	2-SLLS3	D		45	N	3		390248
222069900	65546622	1	383	111	D		14	N	3		390619
222069927	65546635	1	392	2-SLLS3	D		45	N	3		390248
222069928	65546635	2	395	15G02	D		7	N	3		396190
222069929	65546636	1	392	2-SLLS2	D		45	N	3		390247
222069941	65530554	1	392	2-SLLS2	D		45	N	3		390247
222069943	65546643	1	393	48(a)	1	166919466	16	Y	99		9288
222069944	65546643	2	393	48(a)	1	166919466	16	Y	99		9288
222069945	65546643	3	396	3(a)(1)	1	166919466	15	Y	99		383183
222069947	65530722	1	392	2-SLLS2	D		45	N	3		390247
222069948	65530724	1	392	2-SLLS2	D		45	N	3		390247
222069949	65546644	1	392	2-SLLS3	D		45	N	3		390248
222069950	65546644	2	395	8	D		7	N	3		9194
222069963	65546645	1	392	2-SLLS2	D		45	N	3		390247
222069964	65546645	2	395	8F01	D		3	N	3		396252
222069967	65546647	1	392	2-SLLEWA1	D		47	N	3		390260
222069970	65546651	1	393	43(d)	2	166919494	16	Y	1		9281
222069971	65546651	2	396	17(c)	2	166919494	29	N	3		9202
222069975	65546654	1	392	2-SLLS3	D		45	N	3		390248
222069976	65546654	2	395	8F01	D		3	N	3		396252
222069977	65546654	3	395	8E	D		2	Y	3	116797537	253692
222069978	65546655	1	392	2-SLLS3	D		45	N	3		390248
222069983	65546659	1	392	2-SLLS2	D		45	N	3		390247
222069994	65546663	1	396	3A1DSCB	1	166919519	30	N	3		396116
222069995	65546663	2	393	47(a)	1	166919519	16	N	3		257961
222069996	65546663	3	393	47(a)	1	166919519	16	N	3		257961
222069997	65546663	4	393	55(e)	2	166919520	16	N	3		9305
222069998	65546663	5	396	3(a)(1)	1	166919519	15	Y	99		383183
222070008	65546668	1	392	2DIM	D		30	N	3		385697
222070018	65530623	1	395	15G02	D		7	N	3		396190
222070019	65530623	2	393	45(b)(2)	1	166919551	16	Y	99		392460
222070020	65530623	3	396	3(a)(1)	1	166919551	16	Y	99		9208
222070021	65530623	4	396	17(c)	1	166919551	29	N	3		9202
222070022	65530623	5	396	3(a)(1)	1	166919551	16	Y	99		9204
222070023	65530623	6	393	45UV	1	166919551	16	N	3		392458
222070024	65530623	7	393	45UV	1	166919551	16	N	3		392458
222070025	65530623	8	393	45(b)(2)	1	166919551	16	N	3		392460
222070026	65530623	9	393	45UV	1	166919551	16	N	3		392458
222070027	65530623	10	396	7	1	166919551	30	N	3	114190848	9212
222070028	65530623	11	393	47(e)	1	166919551	15	N	3		257965
222070029	65530623	12	393	53(b)	1	166919551	16	N	3		385681
222070031	65546675	1	392	2LV	D		14	N	3		385702
222070032	65546676	1	392	2LV	D		14	N	3		385702
222070046	65546678	1	391	41(a)-F	D		1	N	3		393832
222070047	65546678	2	396	17(c)	1	166919564	29	N	3		9202
222070048	65546678	3	393	95(a)	1	166919564	28	N	3	WARNING	9178
222070049	65546678	4	390	21(b)	1	166919564	30	N	3		9426
222070050	65546678	5	393	43	2	166919565	16	Y	1		9279
222070051	65546678	6	396	17(c)	2	166919565	29	N	3		9202
222070052	65546678	7	392	2RG	2	166919565	30	N	3		385705
222070065	65546682	1	393	203(c)	1	166919577	30	Y	99		9453
222070066	65546682	2	393	203	1	166919577	30	Y	99		9450
222070067	65546682	3	393	201(d)	1	166919577	19	Y	99		9448
222070068	65546682	4	393	203(e)	1	166919577	19	N	3		9455
222070069	65546682	6	393	60(e)-WS	1	166919577	30	N	3		390337
222070070	65546682	7	393	100(c)	2	166919578	25	Y	99		254961
222070071	65546682	8	393	205(a)	2	166919578	24	N	3		9456
222070072	65546683	1	396	3(a)(1)	1	166919579	30	N	3		9203
222070073	65546683	2	393	205(a)	2	166919580	24	N	3		9456
222070074	65546683	3	396	5(b)	1	166919579	30	N	3		9211
222070079	65546687	1	172	600(c)	1	166919587	38	N	3		9579
222070083	65546691	1	392	2-SLLS2	D		45	N	3		390247
222070089	65546695	1	392	2LV	D		14	N	3		385702
222070090	65546696	1	392	2LV	D		14	N	3		385702
222070092	65546697	1	392	2C	D		40	N	3		9389
222070110	65546701	1	392	2-SLLS2	D		45	N	3	WARNING	390247
222070122	65546710	1	392	2-SLLS3	D		45	N	3		390248
222070123	65546711	1	392	2-SLLS3	D		45	N	3		390248
222070124	65546712	1	392	2FC	D		41	N	3	WARNING	9390
222070125	65546712	2	391	41(a)-F	D		1	N	3		393832
222070127	65546714	1	392	2C	D		40	N	3		9389
222070131	65546722	1	392	2-SLLS3	D		45	N	3	WARNING	390248
222070132	65546722	2	392	2LV	D		14	N	3		385702
222070139	65546725	1	392	2-SLLS2	D		45	N	3		390247
222070141	65546728	1	393	55(b)	1	166919679	16	N	3		9299
